Year,Month,Province,Production_mmcfd
2024,February,Nova Scotia,0
2024,February,Ontario,6
2024,February,Saskatchewan,312
2024,March,Alberta,11109
2024,March,British Columbia,7065
2024,March,Canada Total,18498
2024,March,NWT & Yukon,5
2024,March,New Brunswick,8
2024,March,Nova Scotia,0
2024,March,Ontario,6
2024,March,Saskatchewan,305
2024,April,Alberta,11104
2024,April,British Columbia,7082
2024,April,Canada Total,18514
2024,April,NWT & Yukon,5
2024,April,New Brunswick,3
2024,April,Nova Scotia,0
2024,April,Ontario,6
2024,April,Saskatchewan,314
2024,May,Alberta,10827
2024,May,British Columbia,6813
2024,May,Canada Total,17959
2024,May,NWT & Yukon,5
2024,May,New Brunswick,0
2024,May,Nova Scotia,0
2024,May,Ontario,6
2024,May,Saskatchewan,309
2024,June,Alberta,10818
2024,June,British Columbia,6994
2024,June,Canada Total,18117
2024,June,NWT & Yukon,4
2024,June,New Brunswick,0
2024,June,Nova Scotia,0
2024,June,Ontario,6
2024,June,Saskatchewan,294
2024,July,Alberta,10794
2024,July,British Columbia,6578
2024,July,Canada Total,17665
2024,July,NWT & Yukon,4
2024,July,New Brunswick,0
2024,July,Nova Scotia,0
2024,July,Ontario,7
2024,July,Saskatchewan,282
2024,August,Alberta,10902
2024,August,British Columbia,7033
2024,August,Canada Total,18224
2024,August,NWT & Yukon,4
2024,August,New Brunswick,0
2024,August,Nova Scotia,0
2024,August,Ontario,7
2024,August,Saskatchewan,278
2024,September,Alberta,10314
2024,September,British Columbia,6860
2024,September,Canada Total,17459
2024,September,NWT & Yukon,5
2024,September,New Brunswick,0
2024,September,Nova Scotia,0
2024,September,Ontario,5
2024,September,Saskatchewan,274
2024,October,Alberta,10998
2024,October,British Columbia,7208
2024,October,Canada Total,18507
2024,October,NWT & Yukon,4
2024,October,New Brunswick,0
2024,October,Nova Scotia,0
2024,October,Ontario,5
2024,October,Saskatchewan,291
2024,November,Alberta,11264
2024,November,British Columbia,7514
2024,November,Canada Total,19084
2024,November,NWT & Yukon,5
2024,November,New Brunswick,
2024,November,Nova Scotia,0
2024,November,Ontario,5
2024,November,Saskatchewan,296
2024,December,Alberta,11472
2024,December,British Columbia,7655
2024,December,Canada Total,19429
2024,December,NWT & Yukon,6
2024,December,New Brunswick,
2024,December,Nova Scotia,0
2024,December,Ontario,4
2024,December,Saskatchewan,293
2025,January,Alberta,11494
2025,January,British Columbia,7549
2025,January,Canada Total,19332
2025,January,NWT & Yukon,5
2025,January,New Brunswick,
2025,January,Nova Scotia,0
2025,January,Ontario,4
2025,January,Saskatchewan,281
2025,February,Alberta,11195
2025,February,British Columbia,7542
2025,February,Canada Total,19017
2025,February,NWT & Yukon,4
2025,February,New Brunswick,
2025,February,Nova Scotia,0
2025,February,Ontario,4
2025,February,Saskatchewan,272
2025,March,Alberta,11582
2025,March,British Columbia,7500
2025,March,Canada Total,19386
2025,March,NWT & Yukon,4
2025,March,New Brunswick,
2025,March,Nova Scotia,0
2025,March,Ontario,5
2025,March,Saskatchewan,295
2025,April,Alberta,11519
2025,April,British Columbia,7269
2025,April,Canada Total,19087
2025,April,NWT & Yukon,4
2025,April,New Brunswick,
2025,April,Nova Scotia,0
2025,April,Ontario,5
2025,April,Saskatchewan,289
2025,May,Alberta,11245
2025,May,British Columbia,7487
2025,May,Canada Total,19016
2025,May,NWT & Yukon,4
2025,May,New Brunswick,
2025,May,Nova Scotia,0
2025,May,Ontario,5
2025,May,Saskatchewan,275
2025,June,Alberta,10871
2025,June,British Columbia,7304
2025,June,Canada Total,18469
2025,June,NWT & Yukon,4
2025,June,New Brunswick,
2025,June,Nova Scotia,0
2025,June,Ontario,7
2025,June,Saskatchewan,283
2025,July,Alberta,11156
2025,July,British Columbia,7488
2025,July,Canada Total,18931
2025,July,NWT & Yukon,4
2025,July,New Brunswick,
2025,July,Nova Scotia,0
2025,July,Ontario,7
2025,July,Saskatchewan,276
2025,August,Alberta,11078
2025,August,British Columbia,7038
2025,August,Canada Total,18404
2025,August,NWT & Yukon,4
2025,August,New Brunswick,
2025,August,Nova Scotia,0
2025,August,Ontario,6
2025,August,Saskatchewan,277
2025,September,Alberta,11086
2025,September,British Columbia,6723
2025,September,Canada Total,18094
2025,September,NWT & Yukon,4
2025,September,New Brunswick,
2025,September,Nova Scotia,0
2025,September,Ontario,8
2025,September,Saskatchewan,274
2025,October,Alberta,11367
2025,October,British Columbia,7449
2025,October,Canada Total,19097
2025,October,NWT & Yukon,
2025,October,New Brunswick,
2025,October,Nova Scotia,0
2025,October,Ontario,7
2025,October,Saskatchewan,274
2025,November,Alberta,11793
2025,November,British Columbia,
2025,November,Canada Total,
2025,November,NWT & Yukon,
2025,November,New Brunswick,
2025,November,Nova Scotia,
2025,November,Ontario,
2025,November,Saskatchewan,
2025,December,Alberta,
2025,December,British Columbia,
2025,December,Canada Total,
2025,December,NWT & Yukon,
2025,December,New Brunswick,
2025,December,Nova Scotia,
2025,December,Ontario,
2025,December,Saskatchewan,
